PULSAR,SCREEN,s,s_error,DIST,DIST_error,theta,theta_error,v_meas,v_meas_error,Method,Observations,Notes,REFERENCE
J0437-4715,13,0.081,0.003,144.24624,0.47121,139,2,-13,3,Arc Curvature,Multiyear,,Reardon2025
J0437-4715,14,0.076,0.005,145.03104,0.78535,158,3,-7,4,Arc Curvature,Multiyear,,Reardon2025
J0437-4715,15,0.069,0.003,146.12976,0.47121,124,2,-13,2,Arc Curvature,Multiyear,,Reardon2025
J0437-4715,16,0.0226,0.0011,153.412704,0.172777,155,3,-21,4,Arc Curvature,Multiyear,,Reardon2025
J0437-4715,17,0.0218,0.0012,153.538272,0.188484,173,3,-30,5,Arc Curvature,Multiyear,,Reardon2025
J0437-4715,18,0.0152,0.0012,154.574208,0.188484,153,3,-14,6,Arc Curvature,Multiyear,,Reardon2025
J0437-4715,19,0.0045,0.0003,156.25368,0.047121,162,3,-8,5,Arc Curvature,Multiyear,,Reardon2025
J0437-4715,20,0.00328,0.0001,156.4451712,0.015707,167,2,-29,4,Arc Curvature,Multiyear,,Reardon2025
J0437-4715,21,0.0012,0.0003,156.771648,0.047121,143,5,-10,12,Arc Curvature,Multiyear,,Reardon2025
J0437-4715,a,0.000146,0.000006,156.9370838,0.00094242,141,3,-72,3,Arc Curvature,Multiyear,,Reardon2025
J0437-4715,b,0.000108,0.000014,156.9430483,0.00219898,133,4,-117,7,Arc Curvature,Multiyear,,Reardon2025
J0437-4715,c,0.000107,0.000005,156.9432053,0.00078535,139,2,26,2,Arc Curvature,Multiyear,,Reardon2025
J0437-4715,d,0.000084,0.000004,156.9468154,0.00062828,139,3,-50,3,Arc Curvature,Multiyear,,Reardon2025
B0740-28,a,0.14,0.09,245,72,160.95,0.83,22.4,4.2,Arc Curvature,Multiyear,,Wang2024
